pca1,pca2,model_type
-24.501625935234628,-17.716428567079802,Baseline
-2.9365518501831764,28.105928661439805,Baseline
-29.57855274486398,-25.521936613827293,Baseline
-8.385442720318261,28.69945811004957,Baseline
9.28901887689644,15.945022507685136,Baseline
7.616527919235433,9.937013631547234,Baseline
2.2317663098644864,-18.375193029726965,Baseline
-8.002966159381103,-15.742135954738417,Baseline
-4.880771692168225,23.783598108432866,Baseline
14.807680195206355,-13.829454862961795,Baseline
6.876490314118746,13.440782039952365,Baseline
-30.82314106690055,-20.976992144993144,Baseline
-0.5838982749567466,3.0167410066688074,Baseline
6.241354061620047,27.826778953068068,Baseline
48.728449397523626,-28.891240919432036,Baseline
14.376282255752123,20.03283586367856,Baseline
-9.462274221393866,-14.244855953174524,Baseline
2.1352444346154544,18.624718072849152,Baseline
3.335302737363866,30.87646550806491,Baseline
-8.786966277988958,-3.267573197189517,Baseline
56.721788123376946,-28.70745992965229,Baseline
6.11219177213993,21.46686210868338,Baseline
-18.25391659774442,-13.258767618476746,Baseline
2.182664876194315,31.380868024264245,Baseline
57.3237597581894,-27.81379748331339,Baseline
11.923143942047282,23.489367248682314,Baseline
-16.391233097675258,-21.43362065866119,Baseline
-16.597805936873424,2.8610419967001874,Baseline
-2.385590931245977,24.736302617516024,Baseline
-12.698024431929865,-13.559276134100607,Baseline
45.958937465149965,-16.999841764344037,Baseline
11.334374893302444,20.613542127305895,Baseline
-6.154891801146017,8.418690517200686,Baseline
-4.571161239303862,35.046106584708944,Baseline
11.397488862606636,19.881691692715115,Baseline
16.11635736632308,22.34020816432766,Baseline
-10.809088949223105,-17.669293918332993,Baseline
-4.7656896177771255,7.160337007855418,Baseline
-2.3124473380163835,25.671868978005417,Baseline
-3.2179930127948735,17.111958236713654,Baseline
15.130829029855322,24.58423104814107,Baseline
45.86505782162607,-15.43704554798217,Baseline
-4.058401582687829,10.075933098755984,Baseline
-2.7718249169992073,30.298228573988528,Baseline
17.26193238113834,20.301197900675547,Baseline
29.15508549594978,5.744247401270217,Baseline
-3.6613463165438263,-6.426516038289245,Baseline
-7.2471521817032665,7.993950055550237,Baseline
-6.482636337180245,-11.318319532241118,Baseline
-9.796761458908488,26.384930649181115,Baseline
51.548320008835006,-22.102521913348227,Baseline
4.7001039622949925,20.84344890027693,Baseline
-5.026976359225921,13.056917952143927,Baseline
2.4368449244829717,30.388088564415053,Baseline
-5.036640025047567,2.655649193640004,Baseline
48.116011902660524,-30.307384564192496,Baseline
11.211631082932195,24.48421785170907,Baseline
-1.1389801399620156,14.023381182599705,Baseline
-2.6743896207039377,-20.232454559140585,Baseline
44.974195525650345,-25.971038610564168,Baseline
-2.882738839111082,26.410978496094078,Baseline
-21.122320593238708,-17.131827884048583,Baseline
8.879857133368658,23.222603109440048,Baseline
-3.253902394931027,38.83948697535157,Baseline
51.55131312168341,-29.254256606261926,Baseline
1.9996196500003407,21.497737766934858,Baseline
-4.180401575521449,-11.98547798865927,Baseline
-21.140179714505553,-14.203594996584206,Baseline
-1.0620663533829335,32.467592677512286,Baseline
37.1638423278955,-0.27448945500753114,Baseline
10.605476714033955,20.657766227540982,Baseline
-6.883524572665314,-10.269931369866498,Baseline
-15.171761212756124,2.799269313571717,Baseline
-0.7847272098943986,25.74523334841464,Baseline
52.0495272632667,-17.16927419813976,Baseline
13.792381382730746,26.109430737101945,Baseline
-0.34736088301126167,20.60216943015319,Baseline
-0.4641591618758228,14.1360585444905,Baseline
-1.7484208334866873,12.308705164860866,Baseline
-4.403608926291654,-22.621787991435575,Baseline
54.75406978934279,-26.74872064673316,Baseline
-12.480585275282861,-18.56108650255482,Baseline
-21.182332980948832,-16.858954407748485,Baseline
-5.035274893805026,29.506991022646154,Baseline
55.63449688433941,-29.75699087725966,Baseline
9.464848329431375,28.863118298578264,Baseline
10.074206565890922,-11.229553599765538,Baseline
-25.83664235752451,-21.04490559302761,Baseline
-8.613026370298812,14.066993529538612,Baseline
-0.8285630706995052,31.201633230458647,Baseline
52.45477289278206,-29.718790134861386,Baseline
11.663850435101866,24.99771010508129,Baseline
-25.367603814175283,-14.782754754272338,Baseline
-7.271087149701857,25.808140973201787,Baseline
55.354360595294985,-24.48375027670761,Baseline
1.94998987999862,10.262708772987665,Baseline
